Id,SalePrice
1461,128629.02285714286
1462,151068.7142857143
1463,177888.74857142856
1464,186526.87714285715
1465,204515.90285714285
1466,183874.43142857144
1467,170238.9057142857
1468,176119.87142857144
1469,180602.02285714285
1470,120252.37142857142
1471,191803.15714285715
1472,90192.28571428571
1473,104803.14285714286
1474,152731.09142857144
1475,139324.2742857143
1476,372893.1257142857
1477,263095.46857142856
1478,302018.10285714286
1479,251205.88571428572
1480,434066.52857142856
1481,304855.9314285714
1482,211314.75714285715
1483,178900.20857142858
1484,170829.64
1485,169965.37142857144
1486,198634.93714285715
1487,342272.7457142857
1488,243748.07714285713
1489,214384.80285714284
1490,200353.41714285716
1491,193738.41428571427
1492,99299.57142857143
1493,176691.30571428573
1494,293017.7057142857
1495,298061.29142857145
1496,215898.80571428573
1497,189142.16285714286
1498,152025.91428571427
1499,151153.48
1500,153812.94
1501,167560.51714285713
1502,161671.71714285715
1503,305712.59428571427
1504,229860.40857142856
1505,218860.7542857143
1506,191981.75714285715
1507,230152.1257142857
1508,205843.43714285715
1509,166343.85714285713
1510,149227.42571428572
1511,149645.0257142857
1512,168891.46857142856
1513,154755.3
1514,161139.20857142858
1515,173350.69142857142
1516,160481.2742857143
1517,149305.4457142857
1518,129344.62571428572
1519,220447.2742857143
1520,134779.35714285713
1521,145012.57142857142
1522,166052.85714285713
1523,111298.76
1524,122730.92857142857
1525,125930.08571428571
1526,127003.33714285714
1527,112917.29428571429
1528,129352.80857142857
1529,141173.52
1530,164097.2857142857
1531,133827.48857142858
1532,105916.26
1533,144839.35714285713
1534,118482.11714285714
1535,155049.4057142857
1536,118177.16285714286
1537,81052.44
1538,195029.1
1539,245446.04857142858
1540,116879.46857142857
1541,148122.8742857143
1542,142610.02285714285
1543,216961.1
1544,79803.72571428571
1545,110630.15428571429
1546,123990.57142857143
1547,135392.0657142857
1548,134329.72
1549,120830.67714285714
1550,144905.24857142856
1551,119763.74857142857
1552,149384.28285714285
1553,148339.0257142857
1554,110350.82285714286
1555,168941.66
1556,98968.90285714286
1557,123326.54857142858
1558,94574.59428571428
1559,119326.62
1560,148426.31142857144
1561,151065.08571428573
1562,127921.78285714285
1563,121686.71142857143
1564,163917.38285714286
1565,151859.40285714285
